# RA2 / YR 体素法线表（VoxLib 内置，VXL 文件里没有）
# 4 张 LOD 表，槽位 = VXL 头的 NormalsType - 1。
# 验证：tools/normalverify.py，外表面法线朝外命中率 94.0%（用错槽位只有 50.9%）。
#
#   RA2 D:\westwood\RA2YR\game.exe
#   YR  D:\westwood\RA2YR\gamemd.exe
#
# 格式：槽位 索引 x y z
# 槽位[0] 16 项  (NormalsType=1)
3  81 -0.679297 0.286467 -0.675642
3  82 -0.590391 0.091369 -0.801929
3  83 -0.824360 -0.133124 -0.550189
3  84 -0.715794 -0.334542 -0.612961
3  85 0.174286 -0.892484 0.416049
3  86 -0.082528 -0.837123 -0.540753
3  87 0.283331 -0.880874 -0.379189
3  88 0.675134 -0.426627 -0.601817
3  89 0.843720 -0.512335 -0.160156
3  90 0.977304 -0.098556 -0.187520
3  91 0.846295 0.522672 -0.102947
3  92 0.677141 0.721325 -0.145501
3  93 0.320965 0.870892 -0.372194
3  94 -0.178978 0.911533 -0.370236
3  95 -0.447169 0.826701 -0.341474
3  96 -0.703203 0.496328 -0.509081
3  97 -0.977181 0.063563 -0.202674
3  98 -0.878170 -0.412938 0.241455
3  99 -0.835831 -0.358550 -0.415728
3 100 -0.499174 -0.693433 -0.519592
3 101 -0.188789 -0.923753 -0.333225
3 102 0.192254 -0.969361 -0.152896
3 103 0.515940 -0.783907 -0.345392
3 104 0.905925 -0.300952 -0.297871
3 105 0.991112 -0.127746 0.037107
3 106 0.995135 0.098424 -0.004383
3 107 0.760123 0.646277 0.067367
3 108 0.205221 0.959580 -0.192591
3 109 -0.042750 0.979513 -0.196791
3 110 -0.438017 0.898927 0.008492
3 111 -0.821994 0.480785 -0.305239
3 112 -0.899917 0.081710 -0.428337
3 113 -0.926612 -0.144618 -0.347096
3 114 -0.793660 -0.557792 -0.242839
3 115 -0.431350 -0.847779 -0.308558
3 116 -0.005492 -0.965000 0.262193
3 117 0.587905 -0.804026 -0.088940
3 118 0.699493 -0.667686 -0.254765
3 119 0.889303 0.359795 -0.282291
3 120 0.780972 0.197037 0.592672
3 121 0.520121 0.506696 0.687557
3 122 0.403895 0.693961 0.596060
3 123 -0.154983 0.899236 0.409090
3 124 -0.657338 0.537168 0.528543
3 125 -0.746195 0.334091 0.575827
3 126 -0.624952 -0.049144 0.779115
3 127 0.318141 -0.254715 0.913185
3 128 -0.555897 0.405294 0.725752
3 129 -0.794434 0.099406 0.599160
3 130 -0.640361 -0.689463 0.338495
3 131 -0.126713 -0.734095 0.667120
3 132 0.105457 -0.780817 0.615795
3 133 0.407993 -0.480916 0.776055
3 134 0.695136 -0.545120 0.468647
3 135 0.973191 -0.006489 0.229908
3 136 0.946894 0.317509 -0.050799
3 137 0.563583 0.825612 0.027183
3 138 0.325773 0.945423 0.006949
3 139 -0.171821 0.985097 -0.007815
3 140 -0.670441 0.739939 0.054769
3 141 -0.822981 0.554962 0.121322
3 142 -0.966193 0.117857 0.229307
3 143 -0.953769 -0.294704 0.058945
3 144 -0.864387 -0.502728 -0.010015
3 145 -0.530609 -0.842006 -0.097366
3 146 -0.162618 -0.984075 0.071772
3 147 0.081447 -0.996011 0.036439
3 148 0.745984 -0.665963 0.000762
3 149 0.942057 -0.329269 -0.064106
3 150 0.939702 -0.281090 0.194803
3 151 0.771214 0.550670 0.319363
3 152 0.641348 0.730690 0.234021
3 153 0.080682 0.996691 0.009879
3 154 -0.046725 0.976643 0.209725
3 155 -0.531076 0.821001 0.209562
3 156 -0.695815 0.655990 0.292435
3 157 -0.976122 0.216709 -0.014913
3 158 -0.961661 -0.144129 0.233314
3 159 -0.772084 -0.613647 0.165299
3 160 -0.449600 -0.836060 0.314426
3 161 -0.392700 -0.914616 0.096247
3 162 0.390589 -0.919470 0.044890
3 163 0.582529 -0.799198 0.148127
3 164 0.866431 -0.489812 0.096864
3 165 0.904587 0.111498 0.411450
3 166 0.953537 0.232330 0.191806
3 167 0.497311 0.770803 0.398177
3 168 0.194066 0.956320 0.218611
3 169 0.422876 0.882276 0.206797
3 170 -0.373797 0.849566 0.372174
3 171 -0.534497 0.714023 0.452200
3 172 -0.881827 0.237160 0.407598
3 173 -0.904948 -0.014069 0.425289
3 174 -0.751827 -0.512817 0.414458
3 175 -0.501015 -0.697917 0.511758
3 176 -0.235190 -0.925923 0.295555
3 177 0.228983 -0.953940 0.193819
3 178 0.734025 -0.634898 0.241062
3 179 0.913753 -0.063253 -0.401316
3 180 0.905735 -0.161487 0.391875
3 181 0.858930 0.342446 0.380749
3 182 0.624486 0.607581 0.490777
3 183 0.289264 0.857479 0.425508
3 184 0.069968 0.902169 0.425671
3 185 -0.286180 0.940700 0.182165
3 186 -0.574013 0.805119 -0.149309
3 187 0.111258 0.099718 -0.988776
3 188 -0.305393 -0.944228 -0.123160
3 189 -0.601166 -0.789576 0.123163
3 190 -0.290645 -0.812140 0.505919
3 191 -0.064920 -0.877163 0.475785
3 192 0.408301 -0.862216 0.299789
3 193 0.566097 -0.725566 0.391264
3 194 0.839364 -0.427387 0.335869
3 195 0.818900 -0.041305 0.572448
3 196 0.719784 0.414997 0.556497
3 197 0.881744 0.450270 0.140659
3 198 0.401823 -0.898220 -0.178152
3 199 -0.054020 0.791344 0.608980
3 200 -0.293774 0.763994 0.574465
3 201 -0.450798 0.610347 0.651351
3 202 -0.638221 0.186694 0.746873
3 203 -0.872870 -0.257127 0.414708
3 204 -0.587257 -0.521710 0.618828
3 205 -0.353658 -0.641974 0.680291
3 206 0.041649 -0.611273 0.790323
3 207 0.348342 -0.779183 0.521087
3 208 0.499167 -0.622441 0.602826
3 209 0.790019 -0.303831 0.532500
3 210 0.660118 0.060733 0.748702
3 211 0.604921 0.294161 0.739960
3 212 0.385697 0.379346 0.841032
3 213 0.239693 0.207876 0.948332
3 214 0.012623 0.258532 0.965920
3 215 -0.100557 0.457147 0.883688
3 216 0.046967 0.628588 0.776319
3 217 -0.430391 -0.445405 0.785097
3 218 -0.434291 -0.196228 0.879139
3 219 -0.256637 -0.336867 0.905902
3 220 -0.131372 -0.158910 0.978514
3 221 0.102379 -0.208767 0.972592
3 222 0.195687 -0.450129 0.871258
3 223 0.627319 -0.423148 0.653771
3 224 0.687439 -0.171583 0.705682
3 225 0.275920 -0.021255 0.960946
3 226 0.459367 0.157466 0.874178
3 227 0.285395 0.583184 0.760556
3 228 -0.812174 0.460303 0.358461
3 229 -0.189068 0.641223 0.743698
3 230 -0.338875 0.476480 0.811252
3 231 -0.920994 0.347186 0.176727
3 232 0.040639 0.024465 0.998874
3 233 -0.739132 -0.353747 0.573190
3 234 -0.603512 -0.286615 0.744060
3 235 -0.188676 -0.547059 0.815554
3 236 -0.026045 -0.397820 0.917094
3 237 0.267897 -0.649041 0.712023
3 238 0.518246 -0.284891 0.806386
3 239 0.493451 -0.066533 0.867225
3 240 -0.328188 0.140251 0.934143
3 241 -0.328188 0.140251 0.934143
3 242 -0.328188 0.140251 0.934143
3 243 -0.328188 0.140251 0.934143
3 244 -0.328188 0.140251 0.934143
